date,cost,cost_baseline,saving,s_final,year,month
2022-01-01,0.20266085568839182,0.9900608265496011,0.7873999708612094,0.0,2022,1
2022-01-02,0.3235064938260444,0.5190745971363444,0.1955681033103,0.0,2022,1
2022-01-03,-0.019479261807981395,0.8730945801669185,0.8925738419749,1.9728699,2022,1
2022-01-04,0.7768339045743559,1.4848991319940552,0.7080652274196994,0.0,2022,1
2022-01-05,0.7357091574397717,1.5345054191922722,0.7987962617525005,0.0,2022,1
2022-01-06,1.6554413777973163,2.0143381828897167,0.3588968050924004,0.0,2022,1
2022-01-07,0.7015120356177432,1.8636673050393424,1.162155269421599,0.0,2022,1
2022-01-08,1.581047163883012,1.8215008480207113,0.2404536841376994,0.0,2022,1
2022-01-09,0.49350208922550987,1.5921042607396096,1.0986021715141,0.0,2022,1
2022-01-10,1.7114303270205558,2.4822593730844558,0.7708290460639,0.0,2022,1
2022-01-11,1.824639667333306,2.3768594859870067,0.5522198186537006,0.0,2022,1
2022-01-12,1.684865809142239,2.226672970092038,0.541807160949799,0.0,2022,1
2022-01-13,1.7155948993127834,2.0044817067028826,0.2888868073900992,0.0,2022,1
2022-01-14,1.5350770105663065,2.0379456980884063,0.5028686875220998,0.0,2022,1
2022-01-15,2.0013214747215238,2.2758741090000236,0.27455263427849985,0.0,2022,1
2022-01-16,1.5799875616372188,1.9093538382061186,0.32936627656889983,0.0,2022,1
2022-01-17,1.1161301513498296,1.940038901416929,0.8239087500670994,0.0,2022,1
2022-01-18,1.7772169032129583,2.236874955218459,0.4596580520055005,0.0,2022,1
2022-01-19,1.3305169791156728,1.7469631265435737,0.41644614742790087,0.0,2022,1
2022-01-20,1.1822887097299115,1.6789468604560112,0.49665815072609965,0.0,2022,1
2022-01-21,1.457924229960086,1.772264873028686,0.3143406430686,0.0,2022,1
2022-01-22,1.6736697820143205,2.03673547831492,0.36306569630059937,0.0,2022,1
2022-01-23,1.6442430423421142,1.8894004886069153,0.24515744626480118,0.0,2022,1
2022-01-24,1.649276315376134,2.3422662491161343,0.6929899337400003,0.0,2022,1
2022-01-25,1.8589461499705886,2.8031123349340885,0.9441661849634999,0.0,2022,1
2022-01-26,1.8129824410035031,2.042924342074303,0.2299419010707997,0.0,2022,1
2022-01-27,0.6507334190234403,1.8967392743077407,1.2460058552843005,0.0,2022,1
2022-01-28,1.5278664512591114,2.033683486069511,0.5058170348103999,0.0,2022,1
2022-01-29,0.4256800442916317,1.1765610790684318,0.7508810347768,0.0,2022,1
2022-01-30,1.3012854992919451,1.8823597002575452,0.5810742009656,0.0,2022,1
2022-01-31,0.9786490020241357,1.972859543509635,0.9942105414854993,0.0,2022,1
2022-02-01,1.53032368193805,1.85214681201485,0.3218231300768002,0.0,2022,2
2022-02-02,0.9138270122456232,1.7819834164616242,0.8681564042160009,0.0,2022,2
2022-02-03,1.490780034493969,1.7915776863367685,0.3007976518427995,0.0,2022,2
2022-02-04,1.3313276302590273,1.6903368788432274,0.3590092485842,0.0,2022,2
2022-02-05,0.4423600063496569,0.9660168044172571,0.5236567980676002,10.0,2022,2
2022-02-06,-0.03592262984857649,0.7789993527828235,0.8149219826314,1.9518084,2022,2
2022-02-07,0.5998868886525354,1.886895478881636,1.2870085902291004,0.0,2022,2
2022-02-08,1.1102753772858278,1.679856156683428,0.5695807793976002,0.0,2022,2
2022-02-09,1.382726467322208,1.823056026539108,0.4403295592169001,0.0,2022,2
2022-02-10,1.6216956442027128,1.8790651348893108,0.257369490686598,0.0,2022,2
2022-02-11,1.529701166797263,1.797415345765563,0.26771417896829997,0.0,2022,2
2022-02-12,0.802465423432283,1.4722076284516827,0.6697422050193997,0.0,2022,2
2022-02-13,0.15819471883484154,0.7046066619213416,0.5464119430865,4.8991109,2022,2
2022-02-14,0.0046913939690750445,1.5446067603956757,1.5399153664266005,0.0,2022,2
2022-02-15,1.4424844570931714,1.660465006867671,0.21798054977449954,0.0,2022,2
2022-02-16,0.914192091122185,1.131510486840685,0.21731839571849987,0.0,2022,2
2022-02-17,0.15145225631118825,1.110591464983688,0.9591392086724999,0.0,2022,2
2022-02-18,1.1354968005097197,1.4492790352599194,0.31378223475019973,0.0,2022,2
2022-02-19,0.4303673425299953,0.8897754594450955,0.4594081169151002,0.0,2022,2
2022-02-20,0.6982438280605081,0.9624085471316081,0.26416471907109995,0.0,2022,2
2022-02-21,0.4965879366635571,1.488495137460557,0.991907200797,0.0,2022,2
2022-02-22,1.2976352521781234,1.4678484623185233,0.17021321014039992,0.0,2022,2
2022-02-23,1.311586814715218,1.6046026603189185,0.2930158456037004,0.0,2022,2
2022-02-24,0.8861273336554775,1.5300601346259788,0.6439328009705013,0.0,2022,2
2022-02-25,1.3227310321661894,2.4130583826138885,1.0903273504476991,0.0,2022,2
2022-02-26,2.0799406796969016,2.457064496833702,0.37712381713680054,0.0,2022,2
2022-02-27,1.1507357301125696,1.76314869394097,0.6124129638284004,0.0,2022,2
2022-02-28,1.1820957179235292,2.073572263289629,0.8914765453661,0.0,2022,2
2022-03-01,1.834976812459983,2.4569688807087826,0.6219920682487996,0.0,2022,3
2022-03-02,2.1651454499726,2.5104814786148992,0.3453360286422993,0.0,2022,3
2022-03-03,2.660305449516239,3.1366609747967784,0.47635552528053937,0.0,2022,3
2022-03-04,2.898318251765967,3.346353529516367,0.4480352777504,0.0,2022,3
