s_min_pct,lp,threshold
0,487.1283244511676,273.4962157234471
5,484.98128059141925,272.33904584484753
10,482.581894812122,271.55184580254473
15,479.91899474281655,270.8064790294982
20,476.3641102817821,269.6299690930176
