,2.0,3.0,5.0,7.0,10.0
5.0,393.90911377743055,405.1632809165076,415.6988901214873,415.69956130493,415.69956130493
7.5,426.28338344985104,445.5842144714492,461.2410377030334,470.22903781627497,470.23057900977693
10.0,436.097283438461,462.06183703651186,482.581894812122,491.77427905973707,498.11389853352637
12.5,438.3650858876822,467.235765847624,491.967799292567,502.20403938855475,509.745914589529
15.0,439.35358318159973,471.6757977596833,500.98301689422374,513.2342847281955,520.7493775799167
