,2.0,3.0,5.0,7.0,10.0
5.0,232.12074213348734,212.75650614187794,193.30772636181496,193.30772636181496,193.30772636181496
7.5,316.7261804810503,288.20346086365515,259.15407560365173,242.7723591997437,242.7723591997437
10.0,337.5580979242342,304.6806259910993,271.55184580254473,253.4761144979917,247.70392576502297
12.5,349.1503551472562,312.96312025286517,277.4118685894722,257.8897376584661,250.96529851274943
15.0,358.23235787154465,320.7529633555928,282.64408792266545,262.0878498304344,255.19925402480234
