p_max,lp,threshold
2.0,436.097283438461,337.5580979242342
3.0,462.06183703651186,304.6806259910993
5.0,482.581894812122,271.55184580254473
7.0,491.77427905973707,253.4761144979917
10.0,498.11389853352637,247.70392576502297
