s_max,lp,threshold
5.0,415.6988901214873,193.30772636181496
7.5,461.2410377030334,259.15407560365173
10.0,482.581894812122,271.55184580254473
12.5,491.967799292567,277.4118685894722
15.0,500.98301689422374,282.64408792266545
