datum,injectie_kwh,zon_min,poa_kwh_m2,inj_per_zonuur,inj_per_poa
2025-12-24,0.0,443.5,0.4404,0.0,0.0
2025-12-25,0.006,435.09,0.444,0.0008274150175825693,0.013513513513513514
2025-12-26,0.362,450.83,0.4504,0.04817780538118581,0.8037300177619893
2025-12-27,0.129,434.3,0.4401,0.017821782178217824,0.29311520109066125
2025-12-28,0.219,445.95,0.4412,0.02946518668012109,0.49637352674524027
2025-12-30,0.0,373.3,0.4291,0.0,0.0
2025-12-31,0.0,47.15,0.1817,0.0,0.0
2026-01-01,0.014,113.18,0.2529,0.0074218059727867115,0.055357848952155
2026-01-02,0.01,360.0,0.4398,0.0016666666666666668,0.022737608003638016
2026-01-03,0.0,387.74,0.7061,0.0,0.0
2026-01-04,0.0,463.71,0.6762,0.0,0.0
2026-01-05,0.0,310.62,0.4521,0.0,0.0
2026-01-06,0.0,466.15,0.7679,0.0,0.0
2026-01-11,0.0,252.81,0.633,0.0,0.0
2026-01-13,0.102,395.52,0.5778,0.015473300970873786,0.17653167185877466
2026-01-15,0.0,66.07,0.446,0.0,0.0
2026-01-16,0.111,480.0,0.7709,0.013875,0.14398754702296018
2026-01-17,0.186,480.0,0.8463,0.02325,0.21978021978021978
2026-01-18,0.077,480.0,0.8478,0.009625,0.09082330738381694
2026-01-19,0.156,428.97,0.7698,0.021819707671865165,0.20265003897116132
2026-01-20,0.029,480.0,0.8747,0.003625,0.03315422430547616
2026-01-21,0.003,300.0,0.73,0.0006000000000000001,0.004109589041095891
2026-01-22,0.015,295.41,0.7986,0.0030466131816796987,0.018782870022539443
2026-01-23,0.017,6.71,0.4675,0.1520119225037258,0.03636363636363636
2026-01-24,0.07,465.13,0.94,0.009029733622858126,0.07446808510638299
2026-01-25,0.023,481.85,0.8336,0.002863961813842482,0.02759117082533589
2026-01-26,0.002,1.96,0.4288,0.06122448979591837,0.0046641791044776115
2026-01-29,0.002,43.49,0.5841,0.0027592550011496897,0.0034240712206813906
2026-01-30,0.013,107.72,0.564,0.007240995172669885,0.023049645390070924
2026-01-31,0.296,460.97,0.7651,0.03852745297958652,0.3868775323487126
2026-02-01,0.042,249.82,0.7126,0.01008726282923705,0.05893909626719057
2026-02-02,0.003,142.05,0.6534,0.0012671594508975711,0.004591368227731864
2026-02-04,0.09,494.72,1.1037,0.010915265200517464,0.08154389779831477
2026-02-05,0.113,338.24,0.8501,0.020044938505203405,0.13292553817197977
2026-02-06,0.0,172.24,0.675,0.0,0.0
2026-02-07,0.028,472.84,1.6009,0.0035529989002622453,0.017490161783996504
2026-02-08,0.166,560.48,1.6377,0.017770482443619756,0.10136166575074801
2026-02-09,0.072,25.04,0.916,0.17252396166134185,0.07860262008733623
2026-02-10,0.0,94.04,0.8293,0.0,0.0
2026-02-11,0.0,241.15,0.7604,0.0,0.0
2026-02-12,0.01,228.74,0.9254,0.002623065489201714,0.01080613788631943
2026-02-14,0.368,231.46,1.1123,0.09539445260520175,0.3308459947855794
2026-02-15,0.023,314.75,1.1755,0.004384432088959491,0.019566142067205444
2026-02-16,0.252,363.1,1.2708,0.04164142109611677,0.19830028328611898
2026-02-17,0.43,301.37,1.0398,0.08560905199588545,0.4135410655895364
2026-02-18,0.177,290.36,1.7384,0.03657528585204573,0.10181776346065347
2026-02-19,0.0,77.03,1.0559,0.0,0.0
2026-02-20,0.036,85.76,1.0154,0.0251865671641791,0.03545400827260192
2026-02-21,0.004,104.18,0.7465,0.0023037051257439045,0.0053583389149363695
2026-02-23,0.197,305.03,1.5808,0.03875028685703046,0.12462044534412955
2026-02-25,0.054,600.0,2.2206,0.0054,0.024317751958930017
2026-02-26,0.868,600.0,2.1638,0.0868,0.40114613180515757
2026-02-27,0.268,360.89,1.5461,0.04455651306492284,0.1733393700278119
2026-02-28,0.035,360.0,1.1192,0.005833333333333334,0.031272337383845605
2026-03-01,0.176,367.02,1.6021,0.028772273990518227,0.109855814243805
2026-03-02,0.502,603.91,2.4055,0.0498749813713964,0.2086884223654126
2026-03-03,0.525,609.05,2.4277,0.05171989163451277,0.2162540676360341
2026-03-04,0.312,614.89,2.4446,0.03044446974255558,0.1276282418391557
2026-03-05,0.359,625.45,2.5432,0.03443920377328323,0.14116074237181503
2026-03-06,0.45,624.31,2.5182,0.0432477455110442,0.17869907076483202
2026-03-07,0.34,627.41,2.4599,0.032514623611354626,0.138217000691085
2026-03-08,0.006,474.55,2.5528,0.0007586134232430724,0.0023503603885929175
2026-03-09,0.679,653.29,3.242,0.062361279064427746,0.20943861813695253
2026-03-10,0.49,460.12,1.7771,0.06389637485873251,0.27573012210905407
2026-03-11,0.0,235.79,1.026,0.0,0.0
2026-03-12,0.391,657.35,2.5392,0.03568875028523617,0.1539855072463768
2026-03-14,0.348,374.01,2.3018,0.055827384294537576,0.15118602832565817
2026-03-15,1.036,698.13,3.595,0.08903785827854412,0.2881780250347705
2026-03-16,0.328,562.4,3.0275,0.034992887624466576,0.10834021469859621
2026-03-17,1.062,553.9,2.7527,0.11503881567069871,0.38580302975260655
2026-03-18,0.476,706.98,3.8688,0.040397182381396925,0.12303556658395368
2026-03-19,0.743,708.63,3.8416,0.06291012234875747,0.19340899625156185
2026-03-20,0.581,557.75,3.0119,0.06250112057373375,0.19290149075334506
2026-03-21,0.341,711.93,3.8931,0.02873878049808268,0.08759086589093525
2026-03-22,0.27,713.57,3.9676,0.02270274815364996,0.06805121484020567
2026-03-23,0.66,715.2,3.4267,0.05536912751677853,0.19260513030028892
2026-03-24,0.448,392.43,3.2804,0.06849629233239049,0.13656871113278868
2026-03-25,0.766,673.33,3.286,0.0682577636522953,0.2331101643335362
2026-03-26,1.659,720.0,3.5416,0.13825,0.4684323469618252
2026-03-27,0.515,221.26,2.4156,0.1396547048720962,0.21319754926312304
2026-03-28,0.859,600.0,4.026,0.0859,0.2133631395926478
2026-03-29,0.583,470.84,2.9842,0.07429275337694333,0.19536224113665304
2026-03-30,0.816,720.0,3.3947,0.06799999999999999,0.24037470174094913
2026-03-31,0.57,547.92,2.3238,0.06241787122207621,0.2452878905241415
2026-04-01,0.912,479.04,3.3831,0.11422845691382766,0.26957524164228075
2026-04-02,0.017,144.84,1.5048,0.007042253521126761,0.01129718234981393
2026-04-03,0.55,217.59,2.3607,0.15166138149731145,0.23298174270343544
2026-04-04,0.788,312.7,1.9701,0.15119923249120562,0.39997969646210857
2026-04-05,0.325,360.0,2.3629,0.05416666666666667,0.1375428498878497
2026-04-06,1.085,720.0,4.0918,0.09041666666666666,0.2651644752920475
