datum,injectie_kwh,zon_min,poa_kwh_m2,inj_per_zonuur,inj_per_poa
2025-05-26,3.361,819.04,4.5782,0.24621508107052162,0.7341313179852345
2025-05-27,0.197,76.38,1.8911,0.15475255302435195,0.10417217492464703
2025-05-28,0.697,663.45,6.2039,0.0630341397241691,0.11234868389239026
2025-05-29,0.265,105.14,2.4816,0.15122693551455205,0.10678594455190202
2025-05-30,0.564,850.13,6.3888,0.03980567677884558,0.08827948910593537
2025-05-31,0.437,551.98,5.3963,0.047501721076850606,0.08098141319051942
2025-06-01,0.389,477.58,4.1309,0.04887139327442523,0.09416834103948293
2025-06-02,0.552,915.72,5.8603,0.03616826104049273,0.09419313004453699
2025-06-03,0.624,855.41,6.0912,0.04376848528775675,0.10244286840031522
2025-06-04,2.95,434.9,3.7055,0.40699011266957924,0.7961138847658886
2025-06-05,0.958,270.41,3.3785,0.21256610332458117,0.2835577919194909
2025-06-06,1.116,811.76,5.8162,0.08248743470976644,0.191877858395516
2025-06-07,0.622,568.02,4.9475,0.0657019119045104,0.1257200606366852
2025-06-08,1.207,903.83,6.3722,0.08012568735271014,0.18941652804368977
2025-06-09,0.717,725.73,4.6617,0.059278243975032036,0.15380655125812473
2025-06-10,0.769,361.6,3.3746,0.12759955752212387,0.22787885971670716
2025-06-11,0.794,942.27,7.8444,0.050558757044159325,0.10121870378869002
2025-06-12,1.381,927.12,7.6426,0.08937354387781517,0.18069766833276635
2025-06-13,1.436,838.91,6.293,0.10270470014661882,0.22819005243921817
2025-06-14,0.493,792.02,5.3697,0.03734754172874422,0.0918114606030132
2025-06-15,0.919,774.97,6.2956,0.07115114133450327,0.14597496664336998
2025-06-16,1.064,918.81,6.5809,0.06948117673947825,0.1616800133720312
2025-06-17,1.128,819.09,5.983,0.08262828260630699,0.18853418017716864
2025-06-18,1.328,940.9,6.6128,0.08468487618237858,0.2008226469876603
2025-06-19,2.947,948.24,6.8298,0.18647177929638067,0.431491405312015
2025-06-20,0.991,838.47,7.3879,0.07091488067551611,0.13413825308951122
2025-06-21,1.441,953.59,7.8415,0.09066789710462568,0.18376586112350954
2025-06-22,0.865,802.03,5.7906,0.06471079635425109,0.14938002970331224
2025-06-23,2.156,510.85,5.5282,0.2532250171283156,0.3900003617814117
2025-06-24,1.14,452.83,3.212,0.1510500629375262,0.3549190535491905
2025-06-25,7.207,904.91,6.226,0.47785967665292683,1.1575650497911982
2025-06-26,2.808,635.97,5.1217,0.26491815651681677,0.548255462053615
2025-06-27,1.866,474.93,3.9817,0.23574000379003224,0.46864404651279606
2025-06-28,1.424,650.48,4.1808,0.13134915754519738,0.34060466896287794
2025-06-29,15.72,889.32,5.7716,1.0605856159762515,2.723681474807679
2025-06-30,0.895,953.31,7.4762,0.056330050036189704,0.11971322329525695
2025-07-01,0.999,947.62,7.2296,0.06325320276060024,0.13818191877835564
2025-07-02,0.0,783.29,6.9419,0.0,0.0
2025-07-03,1.207,952.34,7.6584,0.07604426990360585,0.15760472161286954
2025-07-04,6.369,928.76,6.6059,0.4114518282441104,0.9641381189542682
2025-07-05,1.551,725.86,5.6692,0.1282065412062932,0.273583574402032
2025-07-06,0.117,19.6,1.7072,0.3581632653061224,0.06853327085285849
2025-07-07,0.949,606.1,5.5806,0.09394489358191717,0.1700533992760635
2025-07-08,0.9,865.81,5.8624,0.062369342003441866,0.1535207423580786
2025-07-09,1.215,936.26,6.2869,0.07786298677717729,0.19325899887066758
2025-07-10,1.24,934.18,6.7104,0.0796420390074718,0.18478779208392943
2025-07-11,1.253,927.16,6.447,0.08108632814185254,0.19435396308360475
2025-07-12,1.054,934.69,6.9412,0.0676587959644374,0.15184694289171902
2025-07-13,0.855,773.28,7.3262,0.06634078212290502,0.11670443067347329
2025-07-14,1.565,717.04,5.5659,0.1309550373758786,0.281176449451122
2025-07-15,1.015,926.92,5.7753,0.06570146290942044,0.1757484459681748
2025-07-16,0.86,790.2,5.3936,0.06529992406985573,0.15944823494512014
2025-07-17,1.086,900.0,6.8747,0.0724,0.15797052962311084
2025-07-18,0.701,687.4,4.7719,0.061187081757346516,0.14690165342945158
2025-07-19,0.519,692.6,5.2985,0.044961016459717014,0.09795225063697273
2025-07-20,0.298,649.12,4.1129,0.027544983978309092,0.07245495878820297
2025-07-21,0.862,848.01,5.2342,0.060989846817844126,0.16468610293836689
2025-07-22,0.915,819.68,5.5157,0.06697735701737263,0.165890095545443
2025-07-23,0.759,832.36,5.0755,0.054711903503291845,0.14954191705250713
2025-07-24,0.847,860.53,5.5466,0.059056627892113,0.1527061623336819
2025-07-25,0.858,833.76,5.0502,0.06174438687392056,0.16989426161340143
2025-07-26,0.0,764.51,4.3548,0.0,0.0
2025-07-27,0.202,442.16,3.6574,0.027410891984801882,0.05523049160605895
2025-07-28,0.498,749.07,4.9469,0.03988946293403821,0.100669105904708
2025-07-29,0.836,836.37,4.8546,0.05997345672369884,0.17220780290858156
2025-07-30,1.02,745.53,5.182,0.08208925194157177,0.19683519876495562
2025-07-31,0.451,511.1,3.5786,0.05294462923107023,0.1260269379086794
2025-08-01,0.877,816.65,4.8384,0.06443396804016409,0.1812582671957672
2025-08-02,2.12,639.51,4.1042,0.1989022845616175,0.5165440280688076
2025-08-03,0.988,743.23,4.7474,0.07975996663213271,0.20811391498504445
2025-08-04,0.755,495.29,4.3069,0.09146156797028003,0.17530009983979197
2025-08-05,1.319,774.06,5.6358,0.10224013642353305,0.23403953298555663
2025-08-06,0.917,793.33,4.9863,0.06935323257660746,0.1839038966768947
2025-08-07,0.849,848.46,5.5783,0.06003818683261438,0.15219690586737897
2025-08-08,0.29,246.79,2.9669,0.07050528789659224,0.09774512117024503
2025-08-09,0.888,727.44,6.1673,0.07324315407456285,0.14398521232954453
2025-08-10,0.865,843.89,5.6622,0.06150090651625212,0.15276747553954292
2025-08-11,0.95,844.58,6.0532,0.06748916621279215,0.15694178285865326
2025-08-12,0.809,840.0,5.9725,0.05778571428571429,0.13545416492256174
2025-08-13,0.611,747.37,5.562,0.04905200904505131,0.10985257101761955
2025-08-14,0.254,839.31,5.7507,0.018157772455945957,0.04416853600431252
2025-08-15,0.587,837.43,5.8233,0.04205724657583321,0.10080195078391976
2025-08-16,0.039,16.92,2.2954,0.1382978723404255,0.016990502744619676
2025-08-17,0.711,718.65,4.8021,0.0593613024420789,0.14806022365215216
2025-08-18,0.981,786.94,4.8822,0.074796045441838,0.20093400516160748
2025-08-19,1.023,825.04,5.7618,0.07439639290216232,0.17754868270332186
