date,cost,cost_electricity,cost_degradation,cost_baseline,saving_electricity,saving_net,s_final,year,month
2024-11-01,1.9925044152176765,1.9925044152176765,0.0,2.1639618831247858,0.17145746790710925,0.17145746790710925,0.5,2024,11
2024-11-02,1.3227610539490142,1.3227610539490142,0.0,1.3227610539490147,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,11
2024-11-03,1.550056003927107,1.550056003927107,0.0,1.5500560039271067,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-04,2.2459342233413015,2.2459342233413015,0.0,2.245934223341302,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,11
2024-11-05,2.3257913469031606,2.3257913469031606,0.0,2.3257913469031606,0.0,0.0,0.5,2024,11
2024-11-06,3.11438208479815,3.11438208479815,0.0,3.1143820847981494,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-07,1.9407074281278087,1.9407074281278087,0.0,1.9407074281278085,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-08,2.974136560268105,2.974136560268105,0.0,2.9741365602681045,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-09,2.6231841385811108,2.6231841385811108,0.0,2.6231841385811103,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-10,2.384763834390936,2.384763834390936,0.0,2.3847638343909354,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-11,2.0632784484028464,2.0632784484028464,0.0,2.063278448402847,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,11
2024-11-12,1.651634514994564,1.651634514994564,0.0,1.651634514994564,0.0,0.0,0.5,2024,11
2024-11-13,2.345718660035195,2.345718660035195,0.0,2.345718660035194,-1.3322676295501878e-15,-1.3322676295501878e-15,0.5,2024,11
2024-11-14,2.927338807833428,2.927338807833428,0.0,2.927338807833428,0.0,0.0,0.5,2024,11
2024-11-15,2.8757331588837207,2.8757331588837207,0.0,2.87573315888372,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-16,1.932626189483239,1.932626189483239,0.0,1.9326261894832388,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-17,1.6322091514668422,1.6322091514668422,0.0,1.6322091514668418,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-18,1.67362991082135,1.67362991082135,0.0,1.6736299108213497,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-19,1.861997273796807,1.861997273796807,0.0,1.8619972737968067,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-20,2.1815216458577056,2.1815216458577056,0.0,2.1815216458577047,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-21,2.123855557839096,2.123855557839096,0.0,2.123855557839096,0.0,0.0,0.5,2024,11
2024-11-22,2.6923937713183608,2.6923937713183608,0.0,2.6923937713183603,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-23,1.4533939387092416,1.4533939387092416,0.0,1.4533939387092423,6.661338147750939e-16,6.661338147750939e-16,0.5,2024,11
2024-11-24,0.7521294543278536,0.30212945432785365,0.45,0.317331198590174,0.01520174426232035,-0.4347982557376796,0.5,2024,11
2024-11-25,1.0938052142947612,1.0188052142947612,0.07500000000000001,1.0571814623053002,0.03837624801053896,-0.036623751989460995,0.5,2024,11
2024-11-26,1.501746068122886,1.501746068122886,0.0,1.5017460681228858,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,11
2024-11-27,2.01950694320027,2.01950694320027,0.0,2.0195069432002706,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,11
2024-11-28,1.8932662776246783,1.8932662776246783,0.0,1.8932662776246785,2.220446049250313e-16,2.220446049250313e-16,0.5,2024,11
2024-11-29,2.08060021500609,2.08060021500609,0.0,2.08060021500609,0.0,0.0,0.5,2024,11
2024-11-30,2.2140809964076067,2.2140809964076067,0.0,2.2140809964076062,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-12-01,2.000281954327206,2.000281954327206,0.0,2.000281954327206,0.0,0.0,0.5,2024,12
2024-12-02,1.7327385801759823,1.7327385801759823,0.0,1.7327385801759823,0.0,0.0,0.5,2024,12
2024-12-03,1.9395591171078885,1.9395591171078885,0.0,1.9395591171078883,-2.220446049250313e-16,-2.220446049250313e-16,0.5,2024,12
2024-12-04,2.7245811495781433,2.7245811495781433,0.0,2.7245811495781433,0.0,0.0,0.5,2024,12
2024-12-05,1.778544417577476,1.778544417577476,0.0,1.7785444175774763,2.220446049250313e-16,2.220446049250313e-16,0.5,2024,12
2024-12-06,1.563107667870696,1.563107667870696,0.0,1.563107667870696,0.0,0.0,0.5,2024,12
2024-12-07,1.1609745608387716,1.1609745608387716,0.0,1.1609745608387716,0.0,0.0,0.5,2024,12
2024-12-08,2.007730992061912,2.007730992061912,0.0,2.0077309920619117,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,12
2024-12-09,1.8005875060865109,1.8005875060865109,0.0,1.800587506086511,2.220446049250313e-16,2.220446049250313e-16,0.5,2024,12
2024-12-10,1.999530494554175,1.999530494554175,0.0,1.9995304945541752,2.220446049250313e-16,2.220446049250313e-16,0.5,2024,12
2024-12-11,5.686313921579245,5.386313921579245,0.30000000000000004,5.590879915905292,0.20456599432604694,-0.09543400567395288,0.5,2024,12
