date,cost,cost_electricity,cost_degradation,cost_baseline,saving_electricity,saving_net,s_final,year,month
2024-11-01,6.169239999999999,6.169239999999999,0.0,6.5960399999999995,0.42680000000000007,0.42680000000000007,0.5,2024,11
2024-11-02,2.87276,2.87276,0.0,2.87276,0.0,0.0,0.5,2024,11
2024-11-03,3.6102000000000003,3.6102000000000003,0.0,3.6102,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-04,4.83702,4.83702,0.0,4.83702,0.0,0.0,0.5,2024,11
2024-11-05,3.8461599999999994,3.8461599999999994,0.0,3.8461599999999994,0.0,0.0,0.5,2024,11
2024-11-06,4.935,4.935,0.0,4.935,0.0,0.0,0.5,2024,11
2024-11-07,3.6415200000000003,3.6415200000000003,0.0,3.6415199999999994,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-08,7.139179999999998,7.139179999999998,0.0,7.13918,1.7763568394002505e-15,1.7763568394002505e-15,0.5,2024,11
2024-11-09,4.9240400000000015,4.9240400000000015,0.0,4.92404,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-10,4.653879999999999,4.653879999999999,0.0,4.65388,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-11,5.029280000000001,5.029280000000001,0.0,5.02928,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-12,3.239919999999999,3.239919999999999,0.0,3.2399199999999997,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-13,4.467599999999999,4.467599999999999,0.0,4.4676,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-14,6.054400000000001,6.054400000000001,0.0,6.054399999999999,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-15,6.117299999999999,6.117299999999999,0.0,6.1173,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-16,3.9254599999999984,3.9254599999999984,0.0,3.92546,1.7763568394002505e-15,1.7763568394002505e-15,0.5,2024,11
2024-11-17,3.6761999999999992,3.6761999999999992,0.0,3.6761999999999997,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,11
2024-11-18,3.6531599999999997,3.6531599999999997,0.0,3.6531599999999997,0.0,0.0,0.5,2024,11
2024-11-19,4.185359999999999,4.185359999999999,0.0,4.18536,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-20,4.694320000000001,4.694320000000001,0.0,4.694319999999999,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-21,4.628539999999999,4.628539999999999,0.0,4.628539999999999,0.0,0.0,0.5,2024,11
2024-11-22,6.245419999999998,6.245419999999998,0.0,6.245419999999999,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-23,4.1228,4.1228,0.0,4.1228,0.0,0.0,0.5,2024,11
2024-11-24,4.7267,4.7267,0.0,4.7267,0.0,0.0,0.5,2024,11
2024-11-25,3.65392,3.65392,0.0,3.6539199999999994,-4.440892098500626e-16,-4.440892098500626e-16,0.5,2024,11
2024-11-26,3.2144999999999997,3.2144999999999997,0.0,3.2144999999999997,0.0,0.0,0.5,2024,11
2024-11-27,5.2957399999999994,5.2957399999999994,0.0,5.2957399999999994,0.0,0.0,0.5,2024,11
2024-11-28,4.181699999999999,4.181699999999999,0.0,4.181699999999999,0.0,0.0,0.5,2024,11
2024-11-29,4.561819999999999,4.561819999999999,0.0,4.56182,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-30,4.525179999999999,4.525179999999999,0.0,4.525180000000001,1.7763568394002505e-15,1.7763568394002505e-15,0.5,2024,11
2024-12-01,4.542559999999998,4.542559999999998,0.0,4.54256,1.7763568394002505e-15,1.7763568394002505e-15,0.5,2024,12
2024-12-02,4.058,4.058,0.0,4.058,0.0,0.0,0.5,2024,12
2024-12-03,3.641679999999999,3.641679999999999,0.0,3.64168,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,12
2024-12-04,4.287480000000001,4.287480000000001,0.0,4.2874799999999995,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,12
2024-12-05,4.39738,4.39738,0.0,4.397379999999999,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,12
2024-12-06,4.18426,4.18426,0.0,4.18426,0.0,0.0,0.5,2024,12
2024-12-07,4.052026,4.052026,0.0,4.052026,0.0,0.0,0.5,2024,12
2024-12-08,4.943488,4.943488,0.0,4.943488,0.0,0.0,0.5,2024,12
2024-12-09,4.447899999999999,4.447899999999999,0.0,4.4479,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,12
2024-12-10,4.030739999999999,4.030739999999999,0.0,4.03074,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,12
2024-12-11,6.716119999999998,6.716119999999998,0.0,6.716119999999999,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,12
2024-12-12,3.5107,3.5107,0.0,3.5107,0.0,0.0,0.5,2024,12
2024-12-13,8.740038000000004,8.740038000000004,0.0,8.740038,-3.552713678800501e-15,-3.552713678800501e-15,0.5,2024,12
2024-12-14,4.385832000000001,4.385832000000001,0.0,4.385832000000001,0.0,0.0,0.5,2024,12
