date,cost,cost_electricity,cost_degradation,cost_baseline,saving_electricity,saving_net,s_final,year,month
2024-11-01,5.726044415217675,5.726044415217675,0.0,6.227301883124786,0.5012574679071111,0.5012574679071111,0.5,2024,11
2024-11-02,3.5426210539490155,3.5426210539490155,0.0,3.5426210539490146,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-03,4.339756003927107,4.339756003927107,0.0,4.339756003927107,0.0,0.0,0.5,2024,11
2024-11-04,5.282304223341303,5.282304223341303,0.0,5.282304223341302,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-05,4.769711346903162,4.769711346903162,0.0,4.769711346903161,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-06,6.2502020847981505,6.2502020847981505,0.0,6.250202084798149,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-07,4.3696674281278085,4.3696674281278085,0.0,4.3696674281278085,0.0,0.0,0.5,2024,11
2024-11-08,7.264426560268104,7.264426560268104,0.0,7.264426560268104,0.0,0.0,0.5,2024,11
2024-11-09,6.42812413858111,6.42812413858111,0.0,6.4281241385811105,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-10,5.980943834390938,5.980943834390938,0.0,5.980943834390935,-2.6645352591003757e-15,-2.6645352591003757e-15,0.5,2024,11
2024-11-11,5.150478448402846,5.150478448402846,0.0,5.150478448402847,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-12,3.7473945149945656,3.7473945149945656,0.0,3.747394514994564,-1.3322676295501878e-15,-1.3322676295501878e-15,0.5,2024,11
2024-11-13,5.188118660035195,5.188118660035195,0.0,5.188118660035194,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-14,6.877458807833428,6.877458807833428,0.0,6.877458807833428,0.0,0.0,0.5,2024,11
2024-11-15,6.687643158883722,6.687643158883722,0.0,6.68764315888372,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-16,4.965936189483239,4.965936189483239,0.0,4.965936189483239,0.0,0.0,0.5,2024,11
2024-11-17,4.472909151466842,4.472909151466842,0.0,4.472909151466842,0.0,0.0,0.5,2024,11
