date,cost_act,cost_fc
2024-11-08,6.677374664007164,6.750491400845407
2024-11-09,6.42812413858111,6.4281241385811105
2024-11-10,5.980943834390938,5.980943834390935
2024-11-11,4.968124160067857,5.150478448402847
2024-11-12,3.500143439384753,3.747394514994564
2024-11-13,5.188118660035195,5.188118660035194
2024-11-14,6.727552259827231,6.877458807833428
2024-11-15,6.687643158883722,6.68764315888372
2024-11-16,4.962108200600867,4.965936189483239
2024-11-17,4.459323382252432,4.563428995489952
2024-11-18,4.11458641302632,4.11652991082135
2024-11-19,4.5989972737968055,4.598997273796806
2024-11-20,5.027702252796554,5.223841645857705
2024-11-21,5.025585557839096,5.025585557839096
2024-11-22,6.60256377131836,6.60256377131836
2024-11-23,4.639193938709245,4.6391939387092425
2024-11-24,3.969092201591635,3.969781198590174
2024-11-25,3.3566520910746336,3.580358976137525
2024-11-26,3.629343141954184,3.629976068122886
2024-11-27,5.278555910248083,5.2789169432002705
2024-11-28,4.45207070990899,4.6966260148281735
2024-11-29,4.709597873550094,4.885090215006089
2024-11-30,5.70985848457372,5.7108109964076075
2024-12-01,5.510441954327209,5.510441954327206
2024-12-02,4.296047709053975,4.299058580175982
2024-12-03,4.207013569037944,4.208039117107888
2024-12-04,5.406976729915267,5.507530409637588
2024-12-05,4.506847754448502,4.507214417577476
2024-12-06,4.10049506938597,4.415579335927359
2024-12-07,4.281455520250007,4.292085560838772
2024-12-08,5.827698992061912,5.8276989920619116
2024-12-09,4.641473452779294,4.643157506086512
2024-12-10,4.517302627362026,4.517536494554175
2024-12-11,9.209427751793779,9.479241731331236
2024-12-12,5.18314617818897,6.285234346656167
2024-12-13,11.270279956344435,11.341009424375518
2024-12-14,5.636089372445164,5.636089372445164
2024-12-15,5.819600571607756,5.819600571607756
2024-12-16,4.917418156658262,5.198698536188781
2024-12-17,3.9504044682062482,3.9504044682062482
2024-12-18,3.786151400029341,3.786825960254784
2024-12-19,4.8711941221737405,4.872009523733073
2024-12-20,6.017760027684293,6.018089853891674
2024-12-21,3.3301653726785823,3.3301653726785827
2024-12-22,4.674835873958633,4.674835873958633
2024-12-23,5.372444176930751,5.619975388166623
2024-12-24,9.86924659307341,9.869246593073408
2024-12-25,5.95604546436452,5.956045464364518
2024-12-26,4.802098982928031,4.802098982928032
2024-12-27,7.251602394980849,7.251602394980848
2024-12-28,5.200655630530815,5.201055242311201
2024-12-29,4.67038851259823,4.690949631437596
2024-12-30,6.696279214969883,6.6962792149698815
2024-12-31,4.054919117731494,4.054919117731493
2025-01-01,3.7830910244980767,3.783091024498077
2025-01-02,4.833995529652792,4.834615810542344
2025-01-03,6.543135213978433,6.543135213978431
2025-01-04,5.382897822368008,5.549017127884454
2025-01-05,3.9107201107216065,3.9107201107216065
2025-01-06,4.0823612385313375,4.0823612385313375
2025-01-07,5.12963274005379,5.290880632134475
2025-01-08,4.867007332521635,4.867630616222174
2025-01-09,5.376235836843318,5.376235836843317
2025-01-10,7.4822022783410365,7.492985657683477
2025-01-11,5.734071823541031,5.734071823541033
2025-01-12,7.454630502685738,7.502228542426211
2025-01-13,5.226827782532676,5.437728223587197
2025-01-14,8.725587060084514,8.951928120971113
2025-01-15,7.076175932927338,7.5699207423183354
2025-01-16,5.575433813255147,5.577541420878541
2025-01-17,7.279446184351403,7.281744006347113
2025-01-18,7.021214781271311,7.021214781271311
2025-01-19,7.003730259559205,7.0037302595592035
2025-01-20,5.575095860583613,6.631004819798188
2025-01-21,5.414635497919611,5.420598691487359
2025-01-22,5.583803475574639,5.58738517787768
2025-01-23,4.491921335124492,4.49364815892298
2025-01-24,6.360594917884124,6.360594917884123
2025-01-25,5.062466991263645,5.062466991263645
2025-01-26,5.647232048418132,5.647232048418132
2025-01-27,2.4620937984874334,2.463369870671851
2025-01-28,4.896823980695535,4.897168280603964
2025-01-29,5.723264163712715,5.723264163712713
2025-01-30,3.4649477240695057,3.4649477240695052
2025-01-31,5.294236068894407,5.294236068894406
2025-02-01,5.746747808375043,5.919289843125822
2025-02-02,4.466908302032077,4.816177055865664
2025-02-03,5.6845233003698015,5.814648780350008
2025-02-04,6.521570507089145,6.680392919588582
2025-02-05,4.1486719864201005,4.150197272847481
2025-02-06,3.209584100077355,3.4250140272398397
2025-02-07,4.198196164231263,4.200895351221241
2025-02-08,4.852143437672395,5.049818268957491
2025-02-09,9.366491182304278,9.366491182304282
2025-02-10,7.83484268994706,7.835394031743645
2025-02-11,6.880690495302905,6.882724683689444
2025-02-12,6.910093163397725,6.911846731864111
2025-02-13,7.748218313997415,7.748218313997418
2025-02-14,5.136048949333174,5.408744719811668
2025-02-15,7.2487024439974395,7.248702443997438
2025-02-16,3.942544322973803,4.148249123926119
2025-02-17,3.9349407888613737,4.375192190427876
2025-02-18,2.3168730623913683,2.951142908507993
2025-02-19,3.743587630059683,3.9770815472845693
2025-02-20,5.085093112707653,5.269929864914275
2025-02-21,3.889593435895369,3.894766029104039
2025-02-22,3.271568836717142,3.2715688367171416
2025-02-23,4.500010876480987,4.524534928126881
2025-02-24,4.967163489313336,5.079863077521785
2025-02-25,4.410265644663905,4.632898013655405
2025-02-26,3.93391970379427,4.108148137550937
2025-02-27,5.8777097162196945,5.88190452498596
2025-02-28,4.395082252381549,4.592528780256814
2025-03-01,9.374495602704416,9.378690779840554
2025-03-02,3.829197242548588,4.049662577759378
2025-03-03,1.69241967403002,2.5587709662721267
2025-03-04,2.9780509746135553,3.6174350722674564
2025-03-05,2.986749658608749,3.440442156429502
2025-03-06,3.6445178434544583,4.007910811484806
2025-03-07,2.5464109020446326,3.2981745064728085
2025-03-08,2.406595649253682,2.8594981258895853
2025-03-09,2.1921558558197294,2.781687309009267
2025-03-10,3.815521728107087,4.032859503415332
2025-03-11,4.12578160311915,4.130863876036001
2025-03-12,4.911383927474512,4.922375291416337
2025-03-13,4.355903523343532,4.557796186798087
