date,cost_act_dn,cost_fc_dn
2024-11-08,6.557179999999999,6.557179997
2024-11-09,4.9240400000000015,4.92404
2024-11-10,4.653880000000001,4.65388
2024-11-11,4.852478100000002,5.02928
2024-11-12,3.0574677299999995,3.2399199999999997
2024-11-13,4.467599999999999,4.4676
2024-11-14,5.924076950000002,6.054399999999999
2024-11-15,6.117299999999999,6.1173
2024-11-16,3.9233200399999983,3.92546
2024-11-17,3.672027077999999,3.6761999999999997
2024-11-18,3.65151957,3.6531599999999997
2024-11-19,4.185359999999999,4.18536
2024-11-20,4.5111386499999995,4.694319999999999
2024-11-21,4.628539999999999,4.628539999999999
2024-11-22,6.245419999999998,6.245419999999999
2024-11-23,4.1228,4.1228
2024-11-24,4.7259510140000005,4.7267
2024-11-25,3.6513682199999997,3.6539199999999994
2024-11-26,3.2139531900000002,3.2144999999999997
2024-11-27,5.295375460000001,5.2957399999999994
2024-11-28,4.180788649999999,4.181699999999999
2024-11-29,4.39741246,4.56182
2024-11-30,4.524645009999999,4.525180000000001
2024-12-01,4.542559999999999,4.54256
2024-12-02,4.05526595,4.058
2024-12-03,3.6409509199999994,3.64168
2024-12-04,4.287480000000001,4.2874799999999995
2024-12-05,4.3970154599999995,4.397379999999999
2024-12-06,4.179338710000001,4.18426
2024-12-07,4.043787154,4.052026
2024-12-08,4.943488,4.943488
2024-12-09,4.446259569999999,4.4479
2024-12-10,4.030557729999999,4.03074
2024-12-11,6.716119999999998,6.716119999999999
2024-12-12,3.5094241100000003,3.5107
2024-12-13,8.740038000000006,8.740038
2024-12-14,4.385832000000001,4.385832000000001
2024-12-15,4.953982000000002,4.953982
2024-12-16,5.0321,5.0321
2024-12-17,3.94244,3.9424399999999995
2024-12-18,4.325388650000001,4.3263
2024-12-19,5.547328649999995,5.54824
2024-12-20,6.448595459999998,6.44896
2024-12-21,3.5891459999999995,3.589146
2024-12-22,5.1702200000000005,5.17022
2024-12-23,6.222100000000002,6.222099999999999
2024-12-24,9.990519999999998,9.99052
2024-12-25,6.010500000000002,6.010499999999999
2024-12-26,4.626264000000002,4.626263999999999
2024-12-27,7.001241999999997,7.0012419999999995
2024-12-28,3.876626003999999,3.8768399999999996
2024-12-29,3.5858812139999996,3.59733
2024-12-30,6.8004099999999985,6.800409999999999
2024-12-31,4.594179999999999,4.59418
2025-01-01,5.344199999999999,5.3442
2025-01-02,4.52761319,4.52816
2025-01-03,6.217899999999999,6.2179
2025-01-04,4.0550086940000005,4.145636
2025-01-05,3.7900279999999995,3.790028
2025-01-06,5.1356,5.1356
2025-01-07,5.688659999999999,5.68866
2025-01-08,4.42549319,4.4260399999999995
2025-01-09,5.268934,5.268934
2025-01-10,7.204039150000001,7.214064
2025-01-11,4.422000000000001,4.422
2025-01-12,5.729099477999999,5.754671999999999
2025-01-13,4.37506092,4.558668665499999
2025-01-14,7.244033009999999,7.414820000000001
2025-01-15,5.321339999999998,5.321339999999999
2025-01-16,4.793759570000002,4.795399999999999
2025-01-17,6.404777299999999,6.406599999999999
2025-01-18,5.118937999999998,5.118938
2025-01-19,5.092581999999998,5.092582
2025-01-20,4.262896780000002,4.3514800000000005
2025-01-21,4.267741409999998,4.27084
2025-01-22,4.545825950000001,4.548559999999999
2025-01-23,4.353977300000001,4.3558
2025-01-24,7.042760000000001,7.0427599999999995
2025-01-25,4.196235999999999,4.196236
2025-01-26,4.867302,4.8673020000000005
2025-01-27,2.8326618399999988,2.8341199999999995
2025-01-28,5.44987546,5.450239999999999
2025-01-29,5.735060000000001,5.73506
2025-01-30,2.93422,2.93422
2025-01-31,4.60118,4.601179999999999
2025-02-01,4.119089456,4.26267155392
2025-02-02,3.234964028,3.4621958997599993
2025-02-03,4.617061789999998,4.7959576048
2025-02-04,5.588354369999999,5.7725507202
2025-02-05,3.5189359999999996,3.52219156472
2025-02-06,2.55725411,2.7407999999999997
2025-02-07,3.6042904900000003,3.6066599999999998
2025-02-08,3.5125236700000007,3.6575456613599995
2025-02-09,6.703443999999999,6.703443999999999
2025-02-10,6.387795460000003,6.38816
2025-02-11,5.680801840000003,5.682259999999999
2025-02-12,5.658864110000001,5.660139999999999
2025-02-13,6.2717199999999975,6.271719999999999
2025-02-14,3.9239994600000005,4.106634
2025-02-15,5.2459000000000024,5.2459
2025-02-16,2.91913202,3.03155198607
