date,cost,cost_electricity,cost_degradation,cost_baseline,saving_electricity,saving_net,s_final,year,month
2024-11-01,1.8490578392894657,1.8490578392894657,0.0,2.161068397654239,0.3120105583647734,0.3120105583647734,1.0,2024,11
2024-11-02,1.3220465104982713,1.3220465104982713,0.0,1.3220465104982717,4.440892098500626e-16,4.440892098500626e-16,1.0,2024,11
2024-11-03,1.4765020411710343,1.4765020411710343,0.0,1.4765020411710343,0.0,0.0,1.0,2024,11
2024-11-04,2.24096495511553,2.24096495511553,0.0,2.2409649551155306,4.440892098500626e-16,4.440892098500626e-16,1.0,2024,11
2024-11-05,2.2808197013726916,2.2808197013726916,0.0,2.2808197013726916,0.0,0.0,1.0,2024,11
2024-11-06,2.74461152078837,2.2806939950151834,0.4639175257731867,3.0605708131736824,0.779876818158499,0.3159592923853123,1.0,2024,11
2024-11-07,1.9397571400812381,1.9397571400812381,0.0,1.9397571400812381,0.0,0.0,1.0,2024,11
2024-11-08,2.947906573584598,2.947906573584598,0.0,2.9479065735845977,-4.440892098500626e-16,-4.440892098500626e-16,1.0,2024,11
2024-11-09,2.6231841385811108,2.6231841385811108,0.0,2.6231841385811103,-4.440892098500626e-16,-4.440892098500626e-16,1.0,2024,11
2024-11-10,2.3529776260737663,2.3529776260737663,0.0,2.3529776260737654,-8.881784197001252e-16,-8.881784197001252e-16,1.0,2024,11
2024-11-11,1.9486179872581886,1.9486179872581886,0.0,1.9486179872581892,6.661338147750939e-16,6.661338147750939e-16,1.0,2024,11
2024-11-12,1.4788009638620112,1.4788009638620112,0.0,1.478800963862011,-2.220446049250313e-16,-2.220446049250313e-16,1.0,2024,11
2024-11-13,2.2977089389703536,2.2977089389703536,0.0,2.297708938970352,-1.3322676295501878e-15,-1.3322676295501878e-15,1.0,2024,11
2024-11-14,2.8309184634562428,2.8309184634562428,0.0,2.8309184634562423,-4.440892098500626e-16,-4.440892098500626e-16,1.0,2024,11
2024-11-15,2.837022850153364,2.837022850153364,0.0,2.837022850153363,-8.881784197001252e-16,-8.881784197001252e-16,1.0,2024,11
2024-11-16,1.9306011051892213,1.9306011051892213,0.0,1.9306011051892211,-2.220446049250313e-16,-2.220446049250313e-16,1.0,2024,11
2024-11-17,1.6874180710334548,1.5374180710334548,0.15000000000000002,1.6145599981078047,0.07714192707434986,-0.07285807292565005,1.0,2024,11
2024-11-18,1.6295426671881108,1.6295426671881108,0.0,1.6295426671881106,-2.220446049250313e-16,-2.220446049250313e-16,1.0,2024,11
2024-11-19,1.8287814498474628,1.7162814498474628,0.1125,1.8470309386797945,0.13074948883233173,0.018249488832331684,1.0,2024,11
2024-11-20,2.0546147045387095,2.0546147045387095,0.0,2.0546147045387095,0.0,0.0,1.0,2024,11
2024-11-21,2.0654099556384056,2.0654099556384056,0.0,2.0654099556384056,0.0,0.0,1.0,2024,11
2024-11-22,2.692276923578084,2.692276923578084,0.0,2.6922769235780835,-4.440892098500626e-16,-4.440892098500626e-16,1.0,2024,11
2024-11-23,1.6072155973076028,1.4947155973076027,0.1125,1.4533939387092423,-0.041321658598360456,-0.1538216585983605,3.1825,2024,11
2024-11-24,0.5192306640808931,0.2942306640808931,0.225,0.3174442511635101,0.023213587082617004,-0.20178641291738303,1.0,2024,11
2024-11-25,0.70036250795572,0.23644498218252413,0.46391752577319584,1.0546747124313771,0.818229730248853,0.35431220447565714,1.0,2024,11
2024-11-26,1.4936762096094347,1.4936762096094347,0.0,1.4936762096094345,-2.220446049250313e-16,-2.220446049250313e-16,1.0,2024,11
2024-11-27,2.0157317208693386,2.0157317208693386,0.0,2.0157317208693386,0.0,0.0,1.0,2024,11
2024-11-28,1.811958121524069,1.586958121524069,0.225,1.8633939931906258,0.2764358716665569,0.05143587166655683,1.0,2024,11
2024-11-29,1.9163556604400078,1.9163556604400078,0.0,1.9163556604400074,-4.440892098500626e-16,-4.440892098500626e-16,1.0,2024,11
