date,cost_act,cost_ml_eval,month
2024-11-08,6.677374664007164,6.750564387121562,2024-11
2024-11-09,6.42812413858111,6.4281241385811105,2024-11
2024-11-10,5.980943834390938,5.980943834390935,2024-11
2024-11-11,4.968124160067857,5.055302994954698,2024-11
2024-11-12,3.500143439384753,3.568561827213294,2024-11
2024-11-13,5.188118660035195,5.188118660035194,2024-11
2024-11-14,6.727552259827231,6.849871602774332,2024-11
2024-11-15,6.687643158883722,6.68764315888372,2024-11
2024-11-16,4.962108200600867,4.965936189483239,2024-11
2024-11-17,4.459323382252432,4.563549869570174,2024-11
2024-11-18,4.11458641302632,4.11652991082135,2024-11
2024-11-19,4.5989972737968055,4.598997273796806,2024-11
2024-11-20,5.027702252796554,5.088802013226486,2024-11
2024-11-21,5.025585557839096,5.025585557839096,2024-11
2024-11-22,6.60256377131836,6.60256377131836,2024-11
2024-11-23,4.639193938709245,4.6391939387092425,2024-11
2024-11-24,3.969092201591635,3.969781198590174,2024-11
2024-11-25,3.3566520910746336,3.580673921120543,2024-11
2024-11-26,3.629343141954184,3.629976068122886,2024-11
2024-11-27,5.278555910248083,5.2789169432002705,2024-11
2024-11-28,4.45207070990899,4.6966260148281735,2024-11
2024-11-29,4.709597873550094,4.82213643740649,2024-11
2024-11-30,5.70985848457372,5.7108109964076075,2024-11
2024-12-01,5.510441954327209,5.510441954327206,2024-12
2024-12-02,4.296047709053975,4.299058580175982,2024-12
2024-12-03,4.207013569037944,4.208039117107888,2024-12
2024-12-04,5.406976729915267,5.5076728683419764,2024-12
2024-12-05,4.506847754448502,4.507214417577476,2024-12
2024-12-06,4.10049506938597,4.4159910354053125,2024-12
2024-12-07,4.281455520250007,4.292085560838772,2024-12
2024-12-08,5.827698992061912,5.8276989920619116,2024-12
2024-12-09,4.641473452779294,4.643157506086512,2024-12
2024-12-10,4.517302627362026,4.517536494554175,2024-12
2024-12-11,9.209427751793779,9.479614724411881,2024-12
2024-12-12,5.18314617818897,6.286074302762246,2024-12
2024-12-13,11.270279956344435,11.341088298368376,2024-12
2024-12-14,5.636089372445164,5.636089372445164,2024-12
2024-12-15,5.819600571607756,5.819600571607756,2024-12
2024-12-16,4.917418156658262,5.19854805237426,2024-12
2024-12-17,3.9504044682062482,3.9504044682062482,2024-12
2024-12-18,3.786151400029341,3.786825960254784,2024-12
2024-12-19,4.8711941221737405,4.872009523733073,2024-12
2024-12-20,6.017760027684293,6.018089853891674,2024-12
2024-12-21,3.3301653726785823,3.3301653726785827,2024-12
2024-12-22,4.674835873958633,4.674835873958633,2024-12
2024-12-23,5.372444176930751,5.620223784812716,2024-12
2024-12-24,9.86924659307341,9.869246593073408,2024-12
2024-12-25,5.95604546436452,5.956045464364518,2024-12
