date,cost,cost_electricity,cost_degradation,cost_baseline,saving_electricity,saving_net,s_final,year,month
2024-11-01,5.651943720084546,5.651943720084546,0.0,6.227301883124786,0.5753581630402405,0.5753581630402405,0.5,2024,11
2024-11-02,3.541160986120538,3.5403609861205383,0.0008,3.5426210539490146,0.00226006782847632,0.001460067828476408,0.5,2024,11
2024-11-03,4.162147519473563,4.061847519473563,0.10030000000000001,4.339756003927107,0.277908484453544,0.17760848445354416,0.5,2024,11
2024-11-04,5.279264901605065,5.278064901605065,0.0012000000000000001,5.282304223341302,0.004239321736236867,0.0030393217362369995,0.5,2024,11
2024-11-05,4.5484571112283,4.1392744142283,0.409182697,4.769711346903161,0.6304369326748613,0.22125423567486102,0.5,2024,11
2024-11-06,5.884086446845411,5.472671843845411,0.411414603,6.250202084798149,0.7775302409527374,0.3661156379527375,0.5,2024,11
2024-11-07,4.3672657573187585,4.338782390318759,0.028483367,4.3696674281278085,0.03088503780904972,0.0024016708090499606,0.5,2024,11
2024-11-08,7.264426560268104,7.264426560268104,0.0,7.264426560268104,0.0,0.0,0.5,2024,11
2024-11-09,6.42812413858111,6.42812413858111,0.0,6.4281241385811105,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-10,5.980943834390938,5.980943834390938,0.0,5.980943834390935,-2.6645352591003757e-15,-2.6645352591003757e-15,0.5,2024,11
2024-11-11,4.968124160067857,4.871124160067857,0.097,5.150478448402847,0.2793542883349902,0.1823542883349898,0.5,2024,11
2024-11-12,3.500143439384753,3.400043439384753,0.1001,3.747394514994564,0.34735107560981104,0.2472510756098112,0.5,2024,11
2024-11-13,5.188118660035195,5.188118660035195,0.0,5.188118660035194,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,11
2024-11-14,6.727552259827231,6.656052259827231,0.07150000000000001,6.877458807833428,0.22140654800619686,0.14990654800619652,0.5,2024,11
2024-11-15,6.687643158883722,6.687643158883722,0.0,6.68764315888372,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,11
2024-11-16,4.962108200600867,4.960108200600867,0.002,4.965936189483239,0.005827988882371571,0.003827988882371791,0.5,2024,11
2024-11-17,4.459323382252432,4.368452939252432,0.09087044300000001,4.472909151466842,0.10445621221441037,0.013585769214410348,0.5,2024,11
2024-11-18,4.11458641302632,4.11368641302632,0.0009,4.11652991082135,0.0028434977950295703,0.0019434977950298915,0.5,2024,11
2024-11-19,4.5989972737968055,4.5989972737968055,0.0,4.598997273796806,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,11
2024-11-20,5.027702252796554,4.927202252796554,0.10049999999999999,5.223841645857705,0.2966393930611515,0.19613939306115125,0.5,2024,11
2024-11-21,5.025585557839096,5.025585557839096,0.0,5.025585557839096,0.0,0.0,0.5,2024,11
2024-11-22,6.60256377131836,6.60256377131836,0.0,6.60256377131836,0.0,0.0,0.5,2024,11
2024-11-23,4.639193938709245,4.639193938709245,0.0,4.6391939387092425,-2.6645352591003757e-15,-2.6645352591003757e-15,0.5,2024,11
2024-11-24,3.969092201591635,3.9683922015916346,0.0007000000000000001,3.969781198590174,0.001388996998539227,0.000688996998539082,0.5,2024,11
2024-11-25,3.3566520910746336,3.1793750160746335,0.177277075,3.3841414623053003,0.20476644623066687,0.027489371230666748,0.5,2024,11
2024-11-26,3.629343141954184,3.6290431419541838,0.00030000000000000003,3.629976068122886,0.0009329261687023305,0.0006329261687021415,0.5,2024,11
2024-11-27,5.278555910248083,5.278355910248083,0.0002,5.2789169432002705,0.000561032952187901,0.0003610329521874789,0.5,2024,11
2024-11-28,4.45207070990899,4.32506465190899,0.127006058,4.459416277624679,0.1343516257156887,0.007345567715688617,0.5,2024,11
2024-11-29,4.709597873550094,4.619397873550094,0.0902,4.885090215006089,0.2656923414559955,0.17549234145599524,0.5,2024,11
2024-11-30,5.70985848457372,5.709358484573721,0.0005,5.7108109964076075,0.0014525118338868381,0.0009525118338871152,0.5,2024,11
2024-12-01,5.510441954327209,5.510441954327209,0.0,5.510441954327206,-3.552713678800501e-15,-3.552713678800501e-15,0.5,2024,12
2024-12-02,4.296047709053975,4.294547709053975,0.0015,4.299058580175982,0.0045108711220072095,0.0030108711220071527,0.5,2024,12
2024-12-03,4.207013569037944,4.206613569037944,0.0004,4.208039117107888,0.0014255480699443268,0.0010255480699443709,0.5,2024,12
2024-12-04,5.406976729915267,5.2592458339152675,0.147730896,5.423161149578143,0.16391531566287565,0.016184419662875982,0.5,2024,12
2024-12-05,4.506847754448502,4.506647754448502,0.0002,4.507214417577476,0.0005666631289740209,0.0003666631289735989,0.5,2024,12
2024-12-06,4.10049506938597,3.6390220116859706,0.4614730577000001,4.197257667870696,0.5582356561847255,0.09676259848472579,0.5,2024,12
2024-12-07,4.281455520250007,4.273755520250007,0.0077,4.292085560838772,0.018330040588764973,0.010630040588765155,0.5,2024,12
2024-12-08,5.827698992061912,5.827698992061912,0.0,5.8276989920619116,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,12
2024-12-09,4.641473452779294,4.640573452779294,0.0009,4.643157506086512,0.002584053307217893,0.001684053307218214,0.5,2024,12
2024-12-10,4.517302627362026,4.5172026273620265,0.0001,4.517536494554175,0.00033386719214867355,0.0002338671921489066,0.5,2024,12
2024-12-11,9.209427751793779,8.74551022579378,0.463917526,9.673939915905294,0.9284296901115141,0.46451216411151464,0.5,2024,12
2024-12-12,5.18314617818897,4.71852865218897,0.464617526,6.122858504896807,1.4043298527078365,0.9397123267078369,0.5,2024,12
2024-12-13,11.270279956344435,10.806362430344436,0.463917526,11.41682709860816,0.6104646682637238,0.14654714226372434,0.5,2024,12
2024-12-14,5.636089372445164,5.636089372445164,0.0,5.636089372445164,0.0,0.0,0.5,2024,12
2024-12-15,5.819600571607756,5.819600571607756,0.0,5.819600571607756,0.0,0.0,0.5,2024,12
2024-12-16,4.917418156658262,4.453500630658262,0.463917526,4.982305158489092,0.5288045278308307,0.0648870018308303,0.5,2024,12
2024-12-17,3.9504044682062482,3.9504044682062482,0.0,3.9504044682062482,0.0,0.0,0.5,2024,12
2024-12-18,3.786151400029341,3.785651400029341,0.0005,3.786825960254784,0.0011745602254431553,0.0006745602254429883,0.5,2024,12
2024-12-19,4.8711941221737405,4.870694122173741,0.0005,4.872009523733073,0.0013154015593324075,0.0008154015593326847,0.5,2024,12
2024-12-20,6.017760027684293,6.017560027684293,0.0002,6.018089853891674,0.0005298262073809568,0.0003298262073805347,0.5,2024,12
2024-12-21,3.3301653726785823,3.3301653726785823,0.0,3.3301653726785827,4.440892098500626e-16,4.440892098500626e-16,0.5,2024,12
2024-12-22,4.674835873958633,4.674835873958633,0.0,4.674835873958633,0.0,0.0,0.5,2024,12
2024-12-23,5.372444176930751,5.190597008930751,0.181847168,5.394118212014989,0.2035212030842386,0.021674035084238596,0.5,2024,12
2024-12-24,9.86924659307341,9.86924659307341,0.0,9.869246593073408,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,12
2024-12-25,5.95604546436452,5.95604546436452,0.0,5.956045464364518,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,12
2024-12-26,4.802098982928031,4.802098982928031,0.0,4.802098982928032,8.881784197001252e-16,8.881784197001252e-16,0.5,2024,12
2024-12-27,7.251602394980849,7.251602394980849,0.0,7.251602394980848,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,12
2024-12-28,5.200655630530815,5.200455630530815,0.0002,5.201055242311201,0.0005996117803857004,0.00039961178038527834,0.5,2024,12
2024-12-29,4.67038851259823,4.65968851259823,0.010700000000000001,4.690949631437596,0.03126111883936655,0.02056111883936662,0.5,2024,12
2024-12-30,6.696279214969883,6.696279214969883,0.0,6.6962792149698815,-1.7763568394002505e-15,-1.7763568394002505e-15,0.5,2024,12
2024-12-31,4.054919117731494,4.054919117731494,0.0,4.054919117731493,-8.881784197001252e-16,-8.881784197001252e-16,0.5,2024,12
2025-01-01,3.7830910244980767,3.7830910244980767,0.0,3.783091024498077,4.440892098500626e-16,4.440892098500626e-16,0.5,2025,1
2025-01-02,4.833995529652792,4.8336955296527915,0.00030000000000000003,4.834615810542344,0.0009202808895523162,0.0006202808895521272,0.5,2025,1
